iter	Passed	Remaining
406	6554	9549
407	6570	9533
408	6583	9513
409	6597	9494
410	6610	9473
411	6621	9450
412	6635	9431
413	6646	9408
414	6658	9385
415	6671	9365
416	6686	9348
417	6701	9330
418	6715	9312
419	6727	9290
420	6738	9267
421	6749	9244
422	6761	9223
423	6772	9200
424	6789	9186
425	6809	9175
426	6826	9161
427	6842	9144
428	6861	9132
429	6879	9119
430	6895	9103
431	6911	9087
432	6927	9071
433	6942	9054
434	6958	9038
435	6972	9019
436	6985	8999
437	6998	8979
438	7012	8961
439	7027	8944
440	7044	8928
441	7057	8909
442	7067	8885
443	7082	8868
444	7093	8847
445	7108	8829
446	7121	8810
447	7134	8790
448	7145	8769
449	7157	8748
450	7169	8727
451	7179	8704
452	7191	8684
453	7203	8662
454	7212	8639
455	7223	8618
456	7237	8599
457	7247	8577
458	7259	8556
459	7270	8535
460	7280	8512
461	7290	8490
462	7301	8468
463	7327	8464
464	7354	8461
465	7375	8451
466	7392	8437
467	7407	8420
468	7419	8400
469	7434	8383
470	7444	8361
471	7455	8339
472	7466	8318
473	7474	8294
474	7483	8271
475	7492	8248
476	7502	8225
477	7514	8206
478	7524	8184
479	7534	8162
480	7545	8141
481	7557	8121
482	7569	8102
483	7582	8083
484	7593	8063
485	7602	8041
486	7613	8020
487	7624	7999
488	7635	7978
489	7646	7958
490	7659	7940
491	7668	7918
492	7682	7900
493	7696	7883
494	7707	7863
495	7717	7841
496	7728	7821
497	7739	7801
498	7749	7780
499	7760	7760
500	7770	7739
501	7782	7720
502	7795	7702
503	7805	7681
504	7816	7661
505	7828	7642
506	7840	7624
507	7853	7605
508	7866	7588
509	7878	7569
510	7892	7552
511	7907	7536
512	7921	7519
513	7931	7499
514	7944	7481
515	7957	7464
516	7971	7446
517	7981	7427
518	7994	7409
519	8005	7389
520	8019	7372
521	8031	7354
522	8044	7336
523	8057	7319
524	8072	7303
525	8086	7286
526	8101	7271
527	8112	7252
528	8131	7240
529	8152	7229
530	8169	7216
531	8184	7200
532	8202	7186
533	8218	7171
534	8234	7157
535	8249	7141
536	8262	7123
537	8273	7104
538	8311	7108
539	8365	7125
540	8382	7112
541	8409	7106
542	8421	7087
543	8436	7071
544	8450	7055
545	8463	7037
546	8477	7020
547	8493	7005
548	8511	6991
549	8527	6977
550	8540	6959
551	8554	6942
552	8568	6926
553	8583	6909
554	8596	6893
555	8615	6879
556	8633	6866
557	8646	6848
558	8662	6834
559	8679	6819
560	8697	6805
561	8710	6788
562	8726	6773
563	8737	6754
564	8750	6737
565	8761	6718
566	8774	6701
567	8789	6684
568	8804	6668
569	8817	6651
570	8831	6635
571	8845	6618
572	8859	6601
573	8871	6584
574	8883	6565
575	8894	6546
576	8906	6529
577	8919	6512
578	8931	6494
579	8942	6475
580	8954	6457
581	8966	6439
582	8976	6420
583	8993	6406
584	9010	6392
585	9030	6379
586	9046	6365
587	9064	6351
588	9077	6333
589	9088	6315
590	9102	6299
591	9117	6283
592	9134	6269
593	9149	6253
594	9163	6237
595	9174	6219
596	9187	6201
597	9201	6185
598	9215	6169
599	9229	6153
600	9240	6134
601	9251	6116
602	9265	6100
603	9278	6083
604	9289	6064
605	9301	6047
606	9311	6028
607	9321	6009
608	9332	5991
609	9347	5976
610	9360	5959
611	9372	5942
612	9383	5923
613	9396	5907
614	9408	5890
615	9418	5871
616	9432	5854
617	9445	5838
618	9461	5823
619	9474	5806
620	9487	5790
621	9499	5772
622	9515	5758
623	9529	5741
624	9545	5727
625	9560	5712
626	9574	5695
627	9586	5678
628	9602	5663
629	9615	5647
630	9630	5631
631	9650	5619
632	9665	5603
633	9680	5588
634	9703	5577
635	9716	5561
636	9729	5544
637	9743	5528
638	9757	5512
639	9773	5497
640	9789	5482
641	9803	5466
642	9820	5452
643	9834	5436
644	9849	5420
645	9862	5404
646	9876	5388
647	9889	5372
648	9903	5356
649	9915	5339
650	9929	5323
651	9941	5306
652	9954	5289
653	9966	5272
654	9982	5257
655	9995	5241
656	10009	5225
657	10021	5208
658	10035	5193
659	10050	5177
660	10067	5163
661	10080	5146
662	10096	5131
663	10110	5115
664	10121	5099
665	10134	5082
666	10147	5066
667	10162	5050
668	10175	5034
669	10186	5017
670	10201	5001
671	10215	4986
672	10228	4970
673	10242	4954
674	10257	4938
675	10269	4922
676	10284	4906
677	10298	4891
678	10315	4876
679	10328	4860
680	10340	4843
681	10353	4827
682	10366	4811
683	10379	4795
684	10394	4779
685	10409	4764
686	10423	4748
687	10437	4733
688	10450	4717
689	10462	4700
690	10475	4684
691	10489	4668
692	10503	4652
693	10514	4636
694	10526	4619
695	10537	4602
696	10550	4586
697	10562	4569
698	10575	4553
699	10587	4537
700	10601	4521
701	10612	4505
702	10627	4489
703	10641	4474
704	10656	4458
705	10670	4443
706	10683	4427
707	10694	4410
708	10716	4398
709	10733	4383
710	10747	4368
711	10763	4353
712	10775	4337
713	10791	4322
714	10805	4307
715	10822	4292
716	10836	4277
717	10849	4261
718	10861	4245
719	10873	4228
720	10885	4212
721	10898	4196
722	10907	4179
723	10919	4162
724	10933	4147
725	10945	4130
726	10956	4114
727	10967	4097
728	10979	4081
729	10991	4065
730	11002	4048
731	11015	4032
732	11029	4017
733	11039	4000
734	11051	3984
735	11064	3968
736	11075	3952
737	11086	3935
738	11097	3919
739	11107	3902
740	11117	3885
741	11131	3870
742	11143	3854
743	11153	3837
744	11165	3821
745	11178	3806
746	11190	3790
747	11199	3773
748	11212	3757
749	11223	3741
750	11234	3724
751	11249	3710
752	11261	3694
753	11273	3677
754	11286	3662
755	11297	3646
756	11309	3630
757	11321	3614
758	11330	3597
759	11344	3582
760	11355	3566
761	11365	3549
762	11376	3533
763	11387	3517
764	11397	3501
765	11408	3485
766	11419	3469
767	11429	3452
768	11441	3437
769	11453	3421
770	11464	3405
771	11475	3389
772	11485	3372
773	11496	3356
774	11506	3340
775	11517	3324
776	11527	3308
777	11538	3292
778	11552	3277
779	11562	3261
780	11573	3245
781	11584	3229
782	11595	3213
783	11605	3197
784	11616	3181
785	11625	3165
786	11637	3149
787	11650	3134
788	11660	3118
789	11672	3102
790	11682	3086
791	11693	3070
792	11707	3055
793	11720	3040
794	11733	3025
795	11745	3010
796	11756	2994
797	11768	2978
798	11780	2963
799	11793	2948
800	11804	2932
801	11816	2917
802	11828	2901
803	11837	2885
804	11850	2870
805	11861	2855
806	11871	2839
807	11882	2823
808	11893	2807
809	11901	2791
810	11913	2776
811	11924	2760
812	11935	2745
813	11945	2729
814	11959	2714
815	11969	2699
816	11979	2683
817	11990	2667
818	12001	2652
819	12011	2636
820	12022	2621
821	12033	2605
822	12044	2590
823	12058	2575
824	12067	2559
825	12080	2544
826	12092	2529
827	12103	2514
828	12114	2498
829	12126	2483
830	12136	2468
831	12146	2452
832	12158	2437
833	12169	2422
834	12178	2406
835	12189	2391
836	12200	2375
837	12213	2360
838	12224	2345
839	12237	2330
840	12249	2315
841	12259	2300
842	12274	2286
843	12287	2271
844	12297	2255
845	12309	2240
846	12320	2225
847	12333	2210
848	12343	2195
849	12355	2180
850	12368	2165
851	12379	2150
852	12390	2135
853	12401	2120
854	12413	2105
855	12424	2090
856	12435	2075
857	12447	2060
858	12457	2044
859	12469	2029
860	12480	2014
861	12492	1999
862	12503	1984
863	12514	1969
864	12524	1954
865	12537	1939
866	12549	1925
867	12561	1910
868	12571	1895
869	12584	1880
870	12595	1865
871	12607	1850
872	12620	1835
873	12638	1821
874	12650	1807
875	12666	1792
876	12681	1778
877	12695	1764
878	12710	1749
879	12720	1734
880	12731	1719
881	12744	1705
882	12756	1690
883	12766	1675
884	12781	1660
885	12795	1646
886	12808	1631
887	12823	1617
888	12836	1602
889	12847	1587
890	12861	1573
891	12873	1558
892	12887	1544
893	12898	1529
894	12909	1514
895	12920	1499
896	12931	1484
897	12944	1470
898	12956	1455
899	12967	1440
900	12979	1426
901	12992	1411
902	13003	1396
903	13013	1381
904	13024	1367
905	13036	1352
906	13046	1337
907	13059	1323
908	13070	1308
909	13082	1293
910	13094	1279
911	13107	1264
912	13118	1250
913	13128	1235
914	13138	1220
915	13148	1205
916	13158	1191
917	13168	1176
918	13178	1161
919	13188	1146
920	13199	1132
921	13208	1117
922	13220	1102
923	13231	1088
924	13240	1073
925	13251	1058
926	13261	1044
927	13270	1029
928	13282	1015
929	13294	1000
930	13303	985
931	13313	971
932	13325	956
933	13337	942
934	13351	928
935	13362	913
936	13373	899
937	13386	884
938	13398	870
939	13411	856
940	13422	841
941	13433	827
942	13444	812
943	13453	798
944	13463	783
945	13473	769
946	13484	754
947	13496	740
948	13506	725
949	13518	711
950	13530	697
951	13543	682
952	13553	668
953	13562	653
954	13573	639
955	13583	625
956	13593	610
957	13603	596
958	13613	582
959	13624	567
960	13634	553
961	13644	538
962	13654	524
963	13663	510
964	13674	495
965	13683	481
966	13699	467
967	13709	453
968	13719	438
969	13728	424
970	13739	410
971	13748	396
972	13758	381
973	13770	367
974	13781	353
975	13795	339
976	13806	325
977	13816	310
978	13828	296
979	13840	282
980	13850	268
981	13862	254
982	13875	239
983	13887	225
984	13899	211
985	13910	197
986	13922	183
987	13934	169
988	13946	155
989	13956	140
990	13967	126
991	13977	112
992	13988	98
993	14002	84
994	14012	70
995	14023	56
996	14035	42
997	14046	28
998	14056	14
999	14067	0
